Piperacillin–tazobactam induced bicytopenia in low cumulative treatment doses	6954770	PMC6954770.nxml	PTZ	cause of	the most likely cause of neutropenia	PTZ was suspected to be the most likely cause of neutropenia and thrombocytopenia and was hence terminated on day 14 ( cumulative dose of PTZ : 126 g ) following stabilisation of the infection condition .
Mortality after hospital admission for heart failure: improvement over time, equally strong in women as in men	6954619	PMC6954619.nxml	1 - year	cause	sex	30 - day , 1 - year and 5 - year overall and cause - specific mortality rates stratified by age and sex were assessed and compared over time .
Mortality after hospital admission for heart failure: improvement over time, equally strong in women as in men	6954619	PMC6954619.nxml	5 - year overall	cause	30 - day	30 - day , 1 - year and 5 - year overall and cause - specific mortality rates stratified by age and sex were assessed and compared over time .
Mortality after hospital admission for heart failure: improvement over time, equally strong in women as in men	6954619	PMC6954619.nxml	5 - year overall	cause	1 - year	30 - day , 1 - year and 5 - year overall and cause - specific mortality rates stratified by age and sex were assessed and compared over time .
Mortality after hospital admission for heart failure: improvement over time, equally strong in women as in men	6954619	PMC6954619.nxml	5 - year overall	cause	5 - year overall	30 - day , 1 - year and 5 - year overall and cause - specific mortality rates stratified by age and sex were assessed and compared over time .
Mortality after hospital admission for heart failure: improvement over time, equally strong in women as in men	6954619	PMC6954619.nxml	5 - year overall	cause	cause - specific mortality rates stratified by age	30 - day , 1 - year and 5 - year overall and cause - specific mortality rates stratified by age and sex were assessed and compared over time .
Mortality after hospital admission for heart failure: improvement over time, equally strong in women as in men	6954619	PMC6954619.nxml	5 - year overall	cause	sex	30 - day , 1 - year and 5 - year overall and cause - specific mortality rates stratified by age and sex were assessed and compared over time .
Mortality after hospital admission for heart failure: improvement over time, equally strong in women as in men	6954619	PMC6954619.nxml	cause - specific mortality rates stratified by age	cause	30 - day	30 - day , 1 - year and 5 - year overall and cause - specific mortality rates stratified by age and sex were assessed and compared over time .
Mortality after hospital admission for heart failure: improvement over time, equally strong in women as in men	6954619	PMC6954619.nxml	cause - specific mortality rates stratified by age	cause	1 - year	30 - day , 1 - year and 5 - year overall and cause - specific mortality rates stratified by age and sex were assessed and compared over time .
Mortality after hospital admission for heart failure: improvement over time, equally strong in women as in men	6954619	PMC6954619.nxml	cause - specific mortality rates stratified by age	cause	5 - year overall	30 - day , 1 - year and 5 - year overall and cause - specific mortality rates stratified by age and sex were assessed and compared over time .
Mortality after hospital admission for heart failure: improvement over time, equally strong in women as in men	6954619	PMC6954619.nxml	cause - specific mortality rates stratified by age	cause	cause - specific mortality rates stratified by age	30 - day , 1 - year and 5 - year overall and cause - specific mortality rates stratified by age and sex were assessed and compared over time .
Mortality after hospital admission for heart failure: improvement over time, equally strong in women as in men	6954619	PMC6954619.nxml	cause - specific mortality rates stratified by age	cause	sex	30 - day , 1 - year and 5 - year overall and cause - specific mortality rates stratified by age and sex were assessed and compared over time .
Mortality after hospital admission for heart failure: improvement over time, equally strong in women as in men	6954619	PMC6954619.nxml	sex	cause	30 - day	30 - day , 1 - year and 5 - year overall and cause - specific mortality rates stratified by age and sex were assessed and compared over time .
Mortality after hospital admission for heart failure: improvement over time, equally strong in women as in men	6954619	PMC6954619.nxml	sex	cause	1 - year	30 - day , 1 - year and 5 - year overall and cause - specific mortality rates stratified by age and sex were assessed and compared over time .
Mortality after hospital admission for heart failure: improvement over time, equally strong in women as in men	6954619	PMC6954619.nxml	sex	cause	5 - year overall	30 - day , 1 - year and 5 - year overall and cause - specific mortality rates stratified by age and sex were assessed and compared over time .
Mortality after hospital admission for heart failure: improvement over time, equally strong in women as in men	6954619	PMC6954619.nxml	sex	cause	cause - specific mortality rates stratified by age	30 - day , 1 - year and 5 - year overall and cause - specific mortality rates stratified by age and sex were assessed and compared over time .
Mortality after hospital admission for heart failure: improvement over time, equally strong in women as in men	6954619	PMC6954619.nxml	sex	cause	sex	30 - day , 1 - year and 5 - year overall and cause - specific mortality rates stratified by age and sex were assessed and compared over time .
Novel RNA viruses associated with Plasmodium vivax in human malaria and Leucocytozoon parasites in avian disease	6953888	PMC6953888.nxml	Eukaryotes of the genus Plasmodium	cause	malaria	Eukaryotes of the genus Plasmodium cause malaria , a parasitic disease responsible for substantial morbidity and mortality in humans .
Novel RNA viruses associated with Plasmodium vivax in human malaria and Leucocytozoon parasites in avian disease	6953888	PMC6953888.nxml	Eukaryotes of the genus Plasmodium	cause	a parasitic disease responsible for substantial morbidity	Eukaryotes of the genus Plasmodium cause malaria , a parasitic disease responsible for substantial morbidity and mortality in humans .
Novel RNA viruses associated with Plasmodium vivax in human malaria and Leucocytozoon parasites in avian disease	6953888	PMC6953888.nxml	Eukaryotes of the genus Plasmodium	cause	mortality	Eukaryotes of the genus Plasmodium cause malaria , a parasitic disease responsible for substantial morbidity and mortality in humans .
Dietary Ethanolic Extract of Mangosteen pericarp Reduces VCAM-1, Perivascular Adipose Tissue and Aortic Intimal Medial Thickness in Hypercholesterolemic Rat Model	6953934	PMC6953934.nxml	Dyslipidemia	causes	oxidative stress	Dyslipidemia causes oxidative stress which induces vascular cell adhesion molecule - 1 ( VCAM - 1 ) .
Adrenocortical carcinoma: an ominous cause of hirsutism	6954802	PMC6954802.nxml	a more serious or life - threatening one should not be missed	cause	a more serious or life - threatening one should not be missed	Although the cause is commonly benign , a more serious or life - threatening one should not be missed .
Patient Experiences with Clostridioides difficile Infection: Results of a Canada-Wide Survey	6954101	PMC6954101.nxml	PurposeClostridioides difficile infection	cause of	the most prevalent cause of nosocomial infectious diarrhea in Canada	PurposeClostridioides difficile infection ( CDI ) is the most prevalent cause of nosocomial infectious diarrhea in Canada and is highly correlated with antibiotic use and contact with health care facilitates .
Full genomic characterization of a porcine rotavirus strain detected in an asymptomatic piglet in Accra, Ghana	6954506	PMC6954506.nxml	infection by zoonotic rotaviruses that are very variable antigenically from the vaccine strain	cause of	vaccine failure	One cause of vaccine failure may be infection by zoonotic rotaviruses that are very variable antigenically from the vaccine strain .
Full genomic characterization of a porcine rotavirus strain detected in an asymptomatic piglet in Accra, Ghana	6954506	PMC6954506.nxml	a source of variable gene segments for re-assortment with other viruses to cause vaccine breakdown	cause	vaccine breakdown	Therefore , such viruses may be a source of variable gene segments for re-assortment with other viruses to cause vaccine breakdown .
Determinants of Birth Asphyxia Among Newborns in Referral Hospitals of Amhara National Regional State, Ethiopia	6954855	PMC6954855.nxml	one of the leading causes in all low -	cause of	one of the leading causes in all low -	Birth asphyxia is one of the leading causes in all low - and middle - income countries and the leading single cause of neonatal mortality in Ethiopia .
Determinants of Birth Asphyxia Among Newborns in Referral Hospitals of Amhara National Regional State, Ethiopia	6954855	PMC6954855.nxml	one of the leading causes in all low -	cause of	middle - income countries	Birth asphyxia is one of the leading causes in all low - and middle - income countries and the leading single cause of neonatal mortality in Ethiopia .
Determinants of Birth Asphyxia Among Newborns in Referral Hospitals of Amhara National Regional State, Ethiopia	6954855	PMC6954855.nxml	one of the leading causes in all low -	cause of	the leading single cause of neonatal mortality in Ethiopia	Birth asphyxia is one of the leading causes in all low - and middle - income countries and the leading single cause of neonatal mortality in Ethiopia .
Determinants of Birth Asphyxia Among Newborns in Referral Hospitals of Amhara National Regional State, Ethiopia	6954855	PMC6954855.nxml	middle - income countries	cause of	one of the leading causes in all low -	Birth asphyxia is one of the leading causes in all low - and middle - income countries and the leading single cause of neonatal mortality in Ethiopia .
Determinants of Birth Asphyxia Among Newborns in Referral Hospitals of Amhara National Regional State, Ethiopia	6954855	PMC6954855.nxml	middle - income countries	cause of	middle - income countries	Birth asphyxia is one of the leading causes in all low - and middle - income countries and the leading single cause of neonatal mortality in Ethiopia .
Determinants of Birth Asphyxia Among Newborns in Referral Hospitals of Amhara National Regional State, Ethiopia	6954855	PMC6954855.nxml	middle - income countries	cause of	the leading single cause of neonatal mortality in Ethiopia	Birth asphyxia is one of the leading causes in all low - and middle - income countries and the leading single cause of neonatal mortality in Ethiopia .
Determinants of Birth Asphyxia Among Newborns in Referral Hospitals of Amhara National Regional State, Ethiopia	6954855	PMC6954855.nxml	the leading single cause of neonatal mortality in Ethiopia	cause of	one of the leading causes in all low -	Birth asphyxia is one of the leading causes in all low - and middle - income countries and the leading single cause of neonatal mortality in Ethiopia .
Determinants of Birth Asphyxia Among Newborns in Referral Hospitals of Amhara National Regional State, Ethiopia	6954855	PMC6954855.nxml	the leading single cause of neonatal mortality in Ethiopia	cause of	middle - income countries	Birth asphyxia is one of the leading causes in all low - and middle - income countries and the leading single cause of neonatal mortality in Ethiopia .
Determinants of Birth Asphyxia Among Newborns in Referral Hospitals of Amhara National Regional State, Ethiopia	6954855	PMC6954855.nxml	the leading single cause of neonatal mortality in Ethiopia	cause of	the leading single cause of neonatal mortality in Ethiopia	Birth asphyxia is one of the leading causes in all low - and middle - income countries and the leading single cause of neonatal mortality in Ethiopia .
Determinants of Birth Asphyxia Among Newborns in Referral Hospitals of Amhara National Regional State, Ethiopia	6954855	PMC6954855.nxml	most of the identified variables	causes	birth asphyxia	Even though most of the identified variables are the common and familiar causes of birth asphyxia , neonates born at health centers were more exposed to birth asphyxia than neonates born in hospitals .
Determinants of Birth Asphyxia Among Newborns in Referral Hospitals of Amhara National Regional State, Ethiopia	6954855	PMC6954855.nxml	the root causes of delays	causes	delays	Further research might be needed to identify the root causes of delays and follow - up issues by adding qualitative component .
Hoarseness of Voice as a Rare Presentation of Tuberculosis: A Case Report Study	6953943	PMC6953943.nxml	This atypical presentation	causes	some confusion	This atypical presentation causes some confusion since other more common conditions , such as laryngeal carcinoma , present similarly and might require more invasive tests to confirm the diagnosis .
Entrapment of DNA topoisomerase-DNA complexes by nucleotide/nucleoside analogs	6953902	PMC6953902.nxml	Top1 poisons	cause	cisplatin cause replication stress	In recent years , studies have shown that Top1 poisons and nucleoside analogs together with other anti-cancer drugs such as cisplatin cause replication stress and the DNA repair pathways that modulate the cytotoxic activities of these compounds are being elucidated .
Stromal cells from perinatal and adult sources modulate the inflammatory immune response in vitro by decreasing Th1 cell proliferation and cytokine secretion	6954711	PMC6954711.nxml	cells coculture	leads to	peripheral blood mononuclear cells	With isolated phytohemagglutinin‐stimulated peripheral blood mononuclear cells , cells coculture leads to a decrease in lymphocyte proliferation .
Transient seizure-induced sodium increase camouflaging a symptomatic hyponatremia	6954747	PMC6954747.nxml	a less well - known cause of plasma sodium increase	cause of	plasma sodium increase	This case provides awareness for a less well - known cause of plasma sodium increase and offers recommendations to prevent misinterpretation and help clinicians in decision making .
Structural basis for adhesion G protein-coupled receptor Gpr126 function	6954182	PMC6954182.nxml	GPR 126 mutations	cause	myelination defects in human	The a GPCR Gpr 126 / Adgrg6 regulates Schwann cell myelination , ear canal formation , and heart development ; and GPR 126 mutations cause myelination defects in human .
Inhibition of histone deacetylase 1 (HDAC1) and HDAC2 enhances CRISPR/Cas9 genome editing	6954403	PMC6954403.nxml	attenuation of HDAC1	leads to	an open chromatin state	Furthermore , our study showed that attenuation of HDAC1 , HDAC2 activity leads to an open chromatin state , facilitates Cas9 access and binding to the targeted DNA and increases the gene editing frequencies .
Inhibition of histone deacetylase 1 (HDAC1) and HDAC2 enhances CRISPR/Cas9 genome editing	6954403	PMC6954403.nxml	HDAC2 activity leads to an open chromatin state	leads to	an open chromatin state	Furthermore , our study showed that attenuation of HDAC1 , HDAC2 activity leads to an open chromatin state , facilitates Cas9 access and binding to the targeted DNA and increases the gene editing frequencies .
Thioredoxin-Interacting Protein as a Novel Potential Therapeutic Target in Diabetes Mellitus and Its Underlying Complications	6954842	PMC6954842.nxml	the antioxidant protein ) which is produced in the pancreatic islet after glucose intake	inhibit	the antioxidant protein ) which is produced in the pancreatic islet after glucose intake	TXNIP is an α-arrestin that can bind and inhibit thioredoxin ( the antioxidant protein ) which is produced in the pancreatic islet after glucose intake .
Prevalence and associated factors of foot ulcer among diabetic patients in Ethiopia: a systematic review and meta-analysis	6954527	PMC6954527.nxml	a global public health challenge attributing to a significant cause of morbidity	cause of	a global public health challenge attributing to a significant cause of morbidity	BackgroundDiabetes and its complications including foot ulcer constitute a global public health challenge attributing to a significant cause of morbidity and mortality .
Prevalence and associated factors of foot ulcer among diabetic patients in Ethiopia: a systematic review and meta-analysis	6954527	PMC6954527.nxml	a global public health challenge attributing to a significant cause of morbidity	cause of	mortality	BackgroundDiabetes and its complications including foot ulcer constitute a global public health challenge attributing to a significant cause of morbidity and mortality .
Prevalence and associated factors of foot ulcer among diabetic patients in Ethiopia: a systematic review and meta-analysis	6954527	PMC6954527.nxml	mortality	cause of	a global public health challenge attributing to a significant cause of morbidity	BackgroundDiabetes and its complications including foot ulcer constitute a global public health challenge attributing to a significant cause of morbidity and mortality .
Prevalence and associated factors of foot ulcer among diabetic patients in Ethiopia: a systematic review and meta-analysis	6954527	PMC6954527.nxml	mortality	cause of	mortality	BackgroundDiabetes and its complications including foot ulcer constitute a global public health challenge attributing to a significant cause of morbidity and mortality .
The Lifestyle Characteristics in Non-Alcoholic Fatty Liver Disease in the PERSIAN Guilan Cohort Study	6953935	PMC6953935.nxml	Disease	cause of	chronic liver disease	BACKGROUND : Non- Alcoholic Fatty Liver Disease ( NAFLD ) is the most common cause of chronic liver disease worldwide .
Risk modifiers of acute respiratory distress syndrome in patients with non-pulmonary sepsis: a retrospective analysis of the FORECAST study	6954566	PMC6954566.nxml	patients at a risk of acute respiratory distress syndrome ( ARDS	causes	patients at a risk of acute respiratory distress syndrome ( ARDS	Predisposing conditions and risk modifiers instead of causes and risk factors have recently been used as alternatives to identify patients at a risk of acute respiratory distress syndrome ( ARDS ) .
Coxiella burnetii Type 4B Secretion System-dependent manipulation of endolysosomal maturation is required for bacterial growth	6953889	PMC6953889.nxml	Approximately 24 – 48 hours post infection	leads to	CCV expansion	Approximately 24 – 48 hours post infection , heterotypic fusion between the CCV and host endosomes / lysosomes leads to CCV expansion and bacterial replication in the mature CCV .
Coxiella burnetii Type 4B Secretion System-dependent manipulation of endolysosomal maturation is required for bacterial growth	6953889	PMC6953889.nxml	heterotypic fusion between the CCV	leads to	CCV expansion	Approximately 24 – 48 hours post infection , heterotypic fusion between the CCV and host endosomes / lysosomes leads to CCV expansion and bacterial replication in the mature CCV .
Coxiella burnetii Type 4B Secretion System-dependent manipulation of endolysosomal maturation is required for bacterial growth	6953889	PMC6953889.nxml	host endosomes / lysosomes	leads to	CCV expansion	Approximately 24 – 48 hours post infection , heterotypic fusion between the CCV and host endosomes / lysosomes leads to CCV expansion and bacterial replication in the mature CCV .
Coxiella burnetii Type 4B Secretion System-dependent manipulation of endolysosomal maturation is required for bacterial growth	6953889	PMC6953889.nxml	p H~4.8 causes C. burnetii lysis	causes	C. burnetii lysis	Further , inducing CCV acidification to p H~4.8 causes C. burnetii lysis , suggesting C. burnetii actively regulates p H of the mature CCV .
MEL Ameliorates Post-SAH Cerebral Vasospasm by Affecting the Expression of eNOS and HIF1α via H19/miR-138/eNOS/NO and H19/miR-675/HIF1α	6953775	PMC6953775.nxml	miR-675	inhibit	miR - 675 expression	Additionally , H19 directly targets miR-675 and miR - 138 to increase miR - 675 expression and inhibit miR - 138 expression .
MEL Ameliorates Post-SAH Cerebral Vasospasm by Affecting the Expression of eNOS and HIF1α via H19/miR-138/eNOS/NO and H19/miR-675/HIF1α	6953775	PMC6953775.nxml	miR - 138	inhibit	miR - 675 expression	Additionally , H19 directly targets miR-675 and miR - 138 to increase miR - 675 expression and inhibit miR - 138 expression .
Impact of age on thromboembolic events in patients with non‐valvular atrial fibrillation	6954376	PMC6954376.nxml	the cause of increased risk of thromboembolic events in older patients	cause of	the cause of increased risk of thromboembolic events in older patients	In a large‐scale single‐center registry , cardiac hemodynamic parameters were examined to elucidate the cause of increased risk of thromboembolic events in older patients .
Strong inverse kinetic isotope effect observed in ammonia charge exchange reactions	6954264	PMC6954264.nxml	the substitution of hydrogen by deuterium	leads to	a slower reaction	Isotopic substitution has long been used to understand the detailed mechanisms of chemical reactions ; normally the substitution of hydrogen by deuterium leads to a slower reaction .
Temporal ordering of input modulates connectivity formation in a developmental neuronal network model of the cortex	6953763	PMC6953763.nxml	weak disorganised synaptic connectivity	leads to	weak disorganised synaptic connectivity	During brain development , activity - dependent mechanisms are essential for synaptic connectivity formation , and abolishing burst activity in animal models leads to weak disorganised synaptic connectivity .
Awareness of Dental Interns to Treat Pregnant Patients	6953919	PMC6953919.nxml	Pregnancy	causes	major changes in maternal physiology	BACKGROUND : Pregnancy causes major changes in maternal physiology and metabolism , which may lead to increased susceptibility to oral infection .
Awareness of Dental Interns to Treat Pregnant Patients	6953919	PMC6953919.nxml	Pregnancy	causes	metabolism	BACKGROUND : Pregnancy causes major changes in maternal physiology and metabolism , which may lead to increased susceptibility to oral infection .
Awareness of Dental Interns to Treat Pregnant Patients	6953919	PMC6953919.nxml	Pregnancy	causes	which may lead to increased susceptibility to oral infection	BACKGROUND : Pregnancy causes major changes in maternal physiology and metabolism , which may lead to increased susceptibility to oral infection .
Human-raptor conflict in rural settlements of Colombia	6953857	PMC6953857.nxml	the factors that influence the perception of the Black -	causes	the factors that influence the perception of the Black -	We studied the factors that influence the perception of the Black - and - chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia and compiled historical and recent evidence on the persecution and other causes of mortality of this species in the country .
Human-raptor conflict in rural settlements of Colombia	6953857	PMC6953857.nxml	the factors that influence the perception of the Black -	causes	- chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia	We studied the factors that influence the perception of the Black - and - chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia and compiled historical and recent evidence on the persecution and other causes of mortality of this species in the country .
Human-raptor conflict in rural settlements of Colombia	6953857	PMC6953857.nxml	the factors that influence the perception of the Black -	causes	compiled historical	We studied the factors that influence the perception of the Black - and - chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia and compiled historical and recent evidence on the persecution and other causes of mortality of this species in the country .
Human-raptor conflict in rural settlements of Colombia	6953857	PMC6953857.nxml	the factors that influence the perception of the Black -	causes	recent evidence on the persecution	We studied the factors that influence the perception of the Black - and - chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia and compiled historical and recent evidence on the persecution and other causes of mortality of this species in the country .
Human-raptor conflict in rural settlements of Colombia	6953857	PMC6953857.nxml	the factors that influence the perception of the Black -	causes	other causes of mortality of this species in the country	We studied the factors that influence the perception of the Black - and - chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia and compiled historical and recent evidence on the persecution and other causes of mortality of this species in the country .
Human-raptor conflict in rural settlements of Colombia	6953857	PMC6953857.nxml	- chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia	causes	the factors that influence the perception of the Black -	We studied the factors that influence the perception of the Black - and - chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia and compiled historical and recent evidence on the persecution and other causes of mortality of this species in the country .
Human-raptor conflict in rural settlements of Colombia	6953857	PMC6953857.nxml	- chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia	causes	- chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia	We studied the factors that influence the perception of the Black - and - chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia and compiled historical and recent evidence on the persecution and other causes of mortality of this species in the country .
Human-raptor conflict in rural settlements of Colombia	6953857	PMC6953857.nxml	- chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia	causes	compiled historical	We studied the factors that influence the perception of the Black - and - chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia and compiled historical and recent evidence on the persecution and other causes of mortality of this species in the country .
Human-raptor conflict in rural settlements of Colombia	6953857	PMC6953857.nxml	- chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia	causes	recent evidence on the persecution	We studied the factors that influence the perception of the Black - and - chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia and compiled historical and recent evidence on the persecution and other causes of mortality of this species in the country .
Human-raptor conflict in rural settlements of Colombia	6953857	PMC6953857.nxml	- chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia	causes	other causes of mortality of this species in the country	We studied the factors that influence the perception of the Black - and - chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia and compiled historical and recent evidence on the persecution and other causes of mortality of this species in the country .
Human-raptor conflict in rural settlements of Colombia	6953857	PMC6953857.nxml	compiled historical	causes	the factors that influence the perception of the Black -	We studied the factors that influence the perception of the Black - and - chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia and compiled historical and recent evidence on the persecution and other causes of mortality of this species in the country .
Human-raptor conflict in rural settlements of Colombia	6953857	PMC6953857.nxml	compiled historical	causes	- chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia	We studied the factors that influence the perception of the Black - and - chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia and compiled historical and recent evidence on the persecution and other causes of mortality of this species in the country .
Human-raptor conflict in rural settlements of Colombia	6953857	PMC6953857.nxml	compiled historical	causes	compiled historical	We studied the factors that influence the perception of the Black - and - chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia and compiled historical and recent evidence on the persecution and other causes of mortality of this species in the country .
Human-raptor conflict in rural settlements of Colombia	6953857	PMC6953857.nxml	compiled historical	causes	recent evidence on the persecution	We studied the factors that influence the perception of the Black - and - chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia and compiled historical and recent evidence on the persecution and other causes of mortality of this species in the country .
Human-raptor conflict in rural settlements of Colombia	6953857	PMC6953857.nxml	compiled historical	causes	other causes of mortality of this species in the country	We studied the factors that influence the perception of the Black - and - chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia and compiled historical and recent evidence on the persecution and other causes of mortality of this species in the country .
Human-raptor conflict in rural settlements of Colombia	6953857	PMC6953857.nxml	recent evidence on the persecution	causes	the factors that influence the perception of the Black -	We studied the factors that influence the perception of the Black - and - chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia and compiled historical and recent evidence on the persecution and other causes of mortality of this species in the country .
Human-raptor conflict in rural settlements of Colombia	6953857	PMC6953857.nxml	recent evidence on the persecution	causes	- chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia	We studied the factors that influence the perception of the Black - and - chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia and compiled historical and recent evidence on the persecution and other causes of mortality of this species in the country .
Human-raptor conflict in rural settlements of Colombia	6953857	PMC6953857.nxml	recent evidence on the persecution	causes	compiled historical	We studied the factors that influence the perception of the Black - and - chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia and compiled historical and recent evidence on the persecution and other causes of mortality of this species in the country .
Human-raptor conflict in rural settlements of Colombia	6953857	PMC6953857.nxml	recent evidence on the persecution	causes	recent evidence on the persecution	We studied the factors that influence the perception of the Black - and - chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia and compiled historical and recent evidence on the persecution and other causes of mortality of this species in the country .
Human-raptor conflict in rural settlements of Colombia	6953857	PMC6953857.nxml	recent evidence on the persecution	causes	other causes of mortality of this species in the country	We studied the factors that influence the perception of the Black - and - chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia and compiled historical and recent evidence on the persecution and other causes of mortality of this species in the country .
Human-raptor conflict in rural settlements of Colombia	6953857	PMC6953857.nxml	other causes of mortality of this species in the country	causes	the factors that influence the perception of the Black -	We studied the factors that influence the perception of the Black - and - chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia and compiled historical and recent evidence on the persecution and other causes of mortality of this species in the country .
Human-raptor conflict in rural settlements of Colombia	6953857	PMC6953857.nxml	other causes of mortality of this species in the country	causes	- chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia	We studied the factors that influence the perception of the Black - and - chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia and compiled historical and recent evidence on the persecution and other causes of mortality of this species in the country .
Human-raptor conflict in rural settlements of Colombia	6953857	PMC6953857.nxml	other causes of mortality of this species in the country	causes	compiled historical	We studied the factors that influence the perception of the Black - and - chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia and compiled historical and recent evidence on the persecution and other causes of mortality of this species in the country .
Human-raptor conflict in rural settlements of Colombia	6953857	PMC6953857.nxml	other causes of mortality of this species in the country	causes	recent evidence on the persecution	We studied the factors that influence the perception of the Black - and - chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia and compiled historical and recent evidence on the persecution and other causes of mortality of this species in the country .
Human-raptor conflict in rural settlements of Colombia	6953857	PMC6953857.nxml	other causes of mortality of this species in the country	causes	other causes of mortality of this species in the country	We studied the factors that influence the perception of the Black - and - chestnut Eagle ( Spizaetus isidori ) in four rural Andean communities in Colombia and compiled historical and recent evidence on the persecution and other causes of mortality of this species in the country .
Human-raptor conflict in rural settlements of Colombia	6953857	PMC6953857.nxml	a significant cause of mortality of this species in Colombia	cause of	a significant cause of mortality of this species in Colombia	The persecution of S. isidori occurs as retaliation or as a preventative measure against chicken predation , and is a significant cause of mortality of this species in Colombia .
